N,N_d,N_p,K,basis,alpha,noise_level,compute_model_posterior,random_seed,n_jobs,bc_config,bc_name,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status,error
100,50,20,100,,0.1,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",Dirichlet_0_0,10.0,0.10098413535602901,0.18172520221201696,0.29428476477373583,0.07954784001384368,0.10086387301191578,0.2313941304528302,20.0,100.0,0.47139953809113694,1.5986260961790317,70.51220800049141,5.4836273193359375e-06,0.00016546249389648438,0.020225048065185547,0.0009849071502685547,2.3335750102996826,0.029552698135375977,2.45967960357666,4.822840213775635,7.841538190841675,bc_Dirichlet_0_0,success,
100,50,20,100,,0.1,0.1,False,42,30,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",Neumann_0_0,10.0,0.10098413535602901,0.20307812467423839,0.3288635666544753,0.09793002555786452,0.1356842247160544,0.3421862350310825,20.0,100.0,0.4884992092628559,1.5986260961790317,69.44256005638553,1.0967254638671875e-05,0.00011944770812988281,0.02053976058959961,0.0006120204925537109,2.324955701828003,0.029346942901611328,2.330785036087036,4.685122489929199,6.849296569824219,bc_Neumann_0_0,success,
100,50,20,100,,0.1,0.1,False,42,30,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",Mixed_Dirichlet_Neumann_0_0,,,,,,,,,,,,,,,,,,,,,,bc_Mixed_Dirichlet_Neumann_0_0,failed,cannot access local variable 'K' where it is not associated with a value
100,50,20,100,,0.1,0.1,False,42,30,"{'bc_type': 'mixed_neumann_dirichlet', 'left': 0, 'right': 0}",Mixed_Neumann_Dirichlet_0_0,,,,,,,,,,,,,,,,,,,,,,bc_Mixed_Neumann_Dirichlet_0_0,failed,cannot access local variable 'K' where it is not associated with a value
