N,N_p,K,basis,alpha,noise_level,compute_model_posterior,random_seed,n_jobs,dofs,N_d,bc_config,method,bc_name,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.013476049015374025,0.43412820402479096,0.7030247585253852,0.30268315762529424,0.4238811168579235,0.9829295303426039,20,100.0,0.01298737346784636,0.7305468177387624,98.22223940307539,5.4836273193359375e-06,0.00016450881958007812,0.0036242008209228516,0.00013494491577148438,0.5185375213623047,0.02759265899658203,0.4824206829071045,1.0285813808441162,3.818819046020508,Dirichlet_Nd10_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.013476049015374025,0.43105914335432094,0.698054739031711,0.3009400424116558,0.4207107235526748,0.9753179781569994,20,100.0,0.013166747665410084,0.7305468177387624,98.19768598730406,9.059906005859375e-06,0.00014019012451171875,0.0034770965576171875,0.00023865699768066406,0.5214579105377197,0.04947328567504883,1.0009715557098389,1.5719330310821533,3.807718515396118,Dirichlet_Nd10_fem,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.04996236800612683,0.27497185933651297,0.44528787399468084,0.20208583588190904,0.2577316458108112,0.5197447343106282,20,100.0,0.11376651253415793,0.9162741985162441,87.5837917603285,1.0728836059570312e-05,0.00011777877807617188,0.007142066955566406,0.0001647472381591797,0.33377909660339355,0.027223825454711914,0.48952317237854004,0.8505551815032959,2.760371446609497,Dirichlet_Nd20_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.04996236800612683,0.27318607400738876,0.4423959833316313,0.2011607758766009,0.2558765634660345,0.5135882789497868,20,100.0,0.11458726864024907,0.9162741985162441,87.49421637913582,8.344650268554688e-06,0.00012063980102539062,0.007093667984008789,0.0002295970916748047,1.1841514110565186,0.04863905906677246,1.3699369430541992,2.602757692337036,4.813325881958008,Dirichlet_Nd20_fem,success
100,20,100,,0.1,0.1,False,42,30,100,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.04996236800612683,0.1557696906226692,0.2522525560889898,0.08910659468758615,0.11316970471306081,0.244933498968413,20,100.0,0.12622240508215835,1.0708732632572224,88.21313320511581,9.059906005859375e-06,0.00010561943054199219,0.011374473571777344,0.00014209747314453125,0.5334386825561523,0.02722644805908203,0.543464183807373,1.1041600704193115,2.975519895553589,Dirichlet_Nd30_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.04996236800612683,0.15477448241589006,0.2506409215470114,0.08854475531339834,0.1122809465655945,0.24191517851617084,20,100.0,0.12713697390131634,1.0708732632572224,88.12772918481407,1.049041748046875e-05,0.00010585784912109375,0.010840415954589844,0.0002040863037109375,1.703972339630127,0.050525665283203125,1.8300561904907227,3.5845835208892822,5.7966368198394775,Dirichlet_Nd30_fem,success
100,20,100,,0.1,0.1,False,42,30,100,50,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.10098413535602901,0.18174320802902216,0.294313923291968,0.07955971728801194,0.10087666257940886,0.2314592229958976,20,100.0,0.4713829858692335,1.5986260961790317,70.51324340345043,9.298324584960938e-06,0.00010776519775390625,0.01983952522277832,0.00015473365783691406,0.8976261615753174,0.03869223594665527,0.6897554397583008,1.6261050701141357,3.649369478225708,Dirichlet_Nd50_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,50,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.10098413535602901,0.18129434573249198,0.29358703822736326,0.07939379205844163,0.10068274769973944,0.2306010993956844,20,100.0,0.4733297543008997,1.5986260961790317,70.39146580728087,1.0251998901367188e-05,0.00011944770812988281,0.019373178482055664,0.00019598007202148438,3.01261043548584,0.0483396053314209,2.6249125003814697,5.6858954429626465,8.03909969329834,Dirichlet_Nd50_fem,success
100,20,100,,0.1,0.1,False,42,30,100,75,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.10098413535602901,0.17542831409799492,0.28408761977191305,0.08703080581884011,0.10974387740141438,0.22156077817713093,19,95.0,0.641689073367922,1.789144078553499,64.13429856992178,5.245208740234375e-06,0.0001087188720703125,0.030127763748168945,0.00012159347534179688,1.5339927673339844,0.0288388729095459,0.6033835411071777,2.166239023208618,4.367140054702759,Dirichlet_Nd75_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,75,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.10098413535602901,0.1742854206584725,0.2822368245992165,0.08679978146780824,0.10953209438322016,0.22118290467491875,19,95.0,0.6445103206821123,1.789144078553499,63.97661158719028,6.4373016357421875e-06,0.00012183189392089844,0.028479814529418945,0.00018262863159179688,4.798418283462524,0.05168724060058594,3.6702890396118164,8.520419120788574,11.013928174972534,Dirichlet_Nd75_fem,success
