config,n_basis,basis_type,integration_points,total_time,total_memory,time_space_creation,mem_space_creation,time_model_creation,mem_model_creation,time_forward_operator,mem_forward_operator,time_target_operator,mem_target_operator,time_data_generation,mem_data_generation,time_noise_setup,mem_noise_setup,time_gram_matrix,mem_gram_matrix,time_linear_solve,mem_linear_solve,time_sola_construction,mem_sola_construction,time_property_inference,mem_property_inference,time_accuracy_computation,mem_accuracy_computation
sine_N10_I500,10,sine,500,1.5576179027557373,0.00390625,5.078315734863281e-05,0.0,5.245208740234375e-06,0.0,0.0002238750457763672,0.0,5.435943603515625e-05,0.0,0.020242929458618164,0.0,0.00077056884765625,0.0,5.245208740234375e-06,0.0,1.4285855293273926,0.0,6.4373016357421875e-06,0.0,0.10502004623413086,0.00390625,4.696846008300781e-05,0.0
fourier_N10_I500,10,fourier,500,1.5084435939788818,0.0,2.3126602172851562e-05,0.0,2.384185791015625e-06,0.0,0.00014519691467285156,0.0,2.6226043701171875e-05,0.0,0.014396429061889648,0.0,0.0007183551788330078,0.0,3.814697265625e-06,0.0,1.3892121315002441,0.0,7.3909759521484375e-06,0.0,0.10302209854125977,0.0,2.9325485229492188e-05,0.0
sine_N30_I1000,30,sine,1000,2.742696523666382,0.0,3.24249267578125e-05,0.0,3.5762786865234375e-06,0.0,0.00018978118896484375,0.0,3.9577484130859375e-05,0.0,0.01691722869873047,0.0,0.0007498264312744141,0.0,3.814697265625e-06,0.0,2.5770175457000732,0.0,7.152557373046875e-06,0.0,0.14649224281311035,0.0,2.8133392333984375e-05,0.0
fourier_N30_I1000,30,fourier,1000,2.8277535438537598,0.0,2.1219253540039062e-05,0.0,2.1457672119140625e-06,0.0,0.0001418590545654297,0.0,2.2411346435546875e-05,0.0,0.016897916793823242,0.0,0.0007104873657226562,0.0,4.5299530029296875e-06,0.0,2.6609370708465576,0.0,7.867813110351562e-06,0.0,0.14812707901000977,0.0,2.574920654296875e-05,0.0
sine_N50_I2000,50,sine,2000,5.695990800857544,0.73046875,6.389617919921875e-05,0.0,7.62939453125e-06,0.0,0.0003383159637451172,0.0,4.458427429199219e-05,0.0,0.021785497665405273,0.0,0.0007371902465820312,0.0,5.245208740234375e-06,0.0,5.430794715881348,0.51171875,6.9141387939453125e-06,0.0,0.24068236351013184,0.21875,2.5033950805664062e-05,0.0
sine_N75_I1000,75,sine,1000,5.119543790817261,0.0,2.2649765014648438e-05,0.0,2.1457672119140625e-06,0.0,0.00014472007751464844,0.0,2.0265579223632812e-05,0.0,0.01676034927368164,0.0,0.0006780624389648438,0.0,3.5762786865234375e-06,0.0,4.934638738632202,0.0,6.67572021484375e-06,0.0,0.16644740104675293,0.0,2.4080276489257812e-05,0.0
