N,N_d,N_p,basis,alpha,noise_level,compute_model_posterior,random_seed,n_jobs,bc_config,K,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",20,10.0,0.10098413535602901,0.1959610819932036,0.3173382679849523,0.08725377072923485,0.10767937767090692,0.25007042952601,20,100.0,0.5049285398422975,1.5986260961790317,68.41484440613372,1.0013580322265625e-05,0.00015544891357421875,0.020153284072875977,0.0007631778717041016,0.623255729675293,0.0068590641021728516,0.846747875213623,1.4768970012664795,4.112006187438965,run_001_K20,success
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",30,10.0,0.10098413535602901,0.18890550041557286,0.3059124990787083,0.08310241494024014,0.10514858781706571,0.2475255078679559,20,100.0,0.4798273439000204,1.5986260961790317,69.98501744423645,1.9788742065429688e-05,0.00010752677917480469,0.019257307052612305,0.0003523826599121094,0.8427269458770752,0.010173797607421875,1.1075525283813477,1.9604849815368652,3.7314231395721436,run_002_K30,success
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",50,10.0,0.10098413535602901,0.18179784718071013,0.2944024056252173,0.07956536361674346,0.1009144600466552,0.23150322326290906,20,100.0,0.4716184450837858,1.5986260961790317,70.49851455502771,2.09808349609375e-05,0.00011277198791503906,0.020160913467407227,0.00045299530029296875,1.242347240447998,0.015774250030517578,1.762892723083496,3.0210442543029785,4.878670930862427,run_003_K50,success
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",100,10.0,0.10098413535602901,0.18172520221201696,0.29428476477373583,0.07954784001384368,0.10086387301191578,0.2313941304528302,20,100.0,0.47139953809113694,1.5986260961790317,70.51220800049141,1.7881393432617188e-05,0.000110626220703125,0.020326852798461914,0.0005831718444824219,2.212524652481079,0.028012514114379883,3.1141934394836426,5.354762554168701,7.4589855670928955,run_004_K100,success
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",150,10.0,0.10098413535602901,0.18172417770370114,0.294283105690763,0.07954757726586285,0.10086378343268,0.23139415533449026,20,100.0,0.4713968893932396,1.5986260961790317,70.5123736863828,1.9788742065429688e-05,0.00011086463928222656,0.020761966705322266,0.0007293224334716797,3.3944690227508545,0.04330611228942871,4.641382455825806,8.0791916847229,10.429250240325928,run_005_K150,success
100,50,20,sine,0.1,0.1,False,42,16,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",200,10.0,0.10098413535602901,0.18172395082084214,0.29428273827794416,0.07954751959340654,0.100863764603611,0.23139415571271904,20,100.0,0.47139634394223995,1.5986260961790317,70.51240780636876,2.2649765014648438e-05,0.00012636184692382812,0.020575284957885742,0.0008337497711181641,4.5103418827056885,0.05756211280822754,6.051631927490234,10.619570970535278,13.152464628219604,run_006_K200,success
