method,n_points,dofs,n_samples,mat_shape,min_eig,neg_count,near_zero_count,symmetry_rel_err,symmetry_ok,symmetry_frob_diff,error
simpson,256,32,1024,50,-1.56121963777168e-10,1,17,1.6598596155445135e-05,False,8.549176405167465e-06,
simpson,256,64,32,50,1.6501455809575054e-05,0,0,1.659200059949452e-05,False,8.545779671677006e-06,
simpson,256,64,64,50,1.6501455809575054e-05,0,0,1.659200059949452e-05,False,8.545779671677006e-06,
simpson,256,64,128,50,1.6501455809575068e-05,0,0,1.6592000599496848e-05,False,8.545779671678204e-06,
simpson,256,64,256,50,1.6501455809576e-05,0,0,1.6592000599495313e-05,False,8.545779671677415e-06,
simpson,256,64,512,50,1.6501455809577372e-05,0,0,1.659200059949664e-05,False,8.545779671678097e-06,
simpson,256,64,1024,50,1.650145580957641e-05,0,0,1.6592000599501002e-05,False,8.545779671680342e-06,
simpson,256,128,32,50,1.6501455809575068e-05,0,0,1.6592000599496848e-05,False,8.545779671678204e-06,
simpson,256,128,64,50,1.6501455809575068e-05,0,0,1.6592000599496848e-05,False,8.545779671678204e-06,
simpson,256,128,128,50,1.6501455809575068e-05,0,0,1.6592000599496848e-05,False,8.545779671678204e-06,
simpson,256,128,256,50,1.6501455809576e-05,0,0,1.6592000599495313e-05,False,8.545779671677415e-06,
simpson,256,128,512,50,1.6501455809577372e-05,0,0,1.659200059949664e-05,False,8.545779671678097e-06,
simpson,256,128,1024,50,1.650145580957641e-05,0,0,1.6592000599501002e-05,False,8.545779671680342e-06,
trapz,256,32,32,50,-0.00010338378568876819,17,1,0.0026201616576714856,False,0.0013495275411654901,
trapz,256,32,64,50,-2.4617165396556816e-18,0,18,1.2129443136116833e-15,True,6.247320438760864e-16,
trapz,256,32,128,50,-3.3766194934128866e-18,0,18,1.21542761744138e-15,True,6.2601107990410685e-16,
trapz,256,32,256,50,-1.2024143574227335e-17,0,18,1.2125032460290348e-15,True,6.24504870172147e-16,
trapz,256,32,512,50,-3.2884674634092404e-17,0,18,1.2154071011772036e-15,True,6.260005129163995e-16,
trapz,256,32,1024,50,-1.876947723301268e-17,0,18,1.2181232188747808e-15,True,6.273994607012015e-16,
trapz,256,64,32,50,1.6496736927226977e-05,0,0,1.212844992703313e-15,True,6.246809127235938e-16,
trapz,256,64,64,50,1.6496736927226977e-05,0,0,1.212844992703313e-15,True,6.246809127235938e-16,
trapz,256,64,128,50,1.6496736927229518e-05,0,0,1.2153294082782165e-15,True,6.259605214108145e-16,
trapz,256,64,256,50,1.649673692723003e-05,0,0,1.21240344845168e-15,True,6.244534935003811e-16,
trapz,256,64,512,50,1.649673692723134e-05,0,0,1.2153081248567188e-15,True,6.259495592950891e-16,
trapz,256,64,1024,50,1.6496736927230758e-05,0,0,1.2180242506079032e-15,True,6.273485112827953e-16,
trapz,256,128,32,50,1.6496736927229518e-05,0,0,1.2153294082782165e-15,True,6.259605214108145e-16,
trapz,256,128,64,50,1.6496736927229518e-05,0,0,1.2153294082782165e-15,True,6.259605214108145e-16,
trapz,256,128,128,50,1.6496736927229518e-05,0,0,1.2153294082782165e-15,True,6.259605214108145e-16,
trapz,256,128,256,50,1.649673692723003e-05,0,0,1.21240344845168e-15,True,6.244534935003811e-16,
trapz,256,128,512,50,1.649673692723134e-05,0,0,1.2153081248567188e-15,True,6.259495592950891e-16,
trapz,256,128,1024,50,1.6496736927230758e-05,0,0,1.2180242506079032e-15,True,6.273485112827953e-16,
simpson,512,32,32,50,-0.00010338429645025707,17,1,0.002620167856422475,False,0.0013495307338825648,
simpson,512,32,64,50,-1.7258853168383842e-13,0,18,5.438259785099804e-07,False,2.800998456889249e-07,
simpson,512,32,128,50,-1.7260149143599265e-13,0,18,5.438259785076711e-07,False,2.800998456877355e-07,
simpson,512,32,256,50,-1.7260606331385523e-13,0,18,5.438259785099063e-07,False,2.8009984568888675e-07,
simpson,512,32,512,50,-1.726117071706849e-13,0,18,5.438259785076501e-07,False,2.800998456877247e-07,
simpson,512,32,1024,50,-1.7265991860939888e-13,0,18,5.438259785172721e-07,False,2.8009984569268046e-07,
simpson,512,64,32,50,1.6496917211531982e-05,0,0,5.436065703816748e-07,False,2.799868495942076e-07,
simpson,512,64,64,50,1.6496917211531982e-05,0,0,5.436065703816748e-07,False,2.799868495942076e-07,
simpson,512,64,128,50,1.6496917211534946e-05,0,0,5.436065703793643e-07,False,2.7998684959301757e-07,
simpson,512,64,256,50,1.649691721153257e-05,0,0,5.436065703815993e-07,False,2.7998684959416874e-07,
simpson,512,64,512,50,1.649691721153539e-05,0,0,5.436065703793428e-07,False,2.799868495930065e-07,
simpson,512,64,1024,50,1.6496917211534228e-05,0,0,5.436065703889688e-07,False,2.7998684959796435e-07,
simpson,512,128,32,50,1.6496917211534946e-05,0,0,5.436065703793643e-07,False,2.7998684959301757e-07,
simpson,512,128,64,50,1.6496917211534946e-05,0,0,5.436065703793643e-07,False,2.7998684959301757e-07,
simpson,512,128,128,50,1.6496917211534946e-05,0,0,5.436065703793643e-07,False,2.7998684959301757e-07,
simpson,512,128,256,50,1.649691721153257e-05,0,0,5.436065703815993e-07,False,2.7998684959416874e-07,
simpson,512,128,512,50,1.649691721153539e-05,0,0,5.436065703793428e-07,False,2.799868495930065e-07,
simpson,512,128,1024,50,1.6496917211534228e-05,0,0,5.436065703889688e-07,False,2.7998684959796435e-07,
trapz,512,32,32,50,-0.00010338378568876627,17,1,0.0026201616576714865,False,0.0013495275411654906,
trapz,512,32,64,50,-2.9937590521272104e-18,0,18,9.74053167437168e-16,True,5.01690159480654e-16,
trapz,512,32,128,50,-1.3771036858619748e-17,0,18,9.774385884391095e-16,True,5.034338347328396e-16,
trapz,512,32,256,50,-9.481189671638383e-18,0,18,9.74331901114129e-16,True,5.018337224272385e-16,
trapz,512,32,512,50,-3.419023587693668e-18,0,18,9.779448960540905e-16,True,5.036946105884066e-16,
trapz,512,32,1024,50,-4.9279668717455644e-18,0,18,9.763052123843458e-16,True,5.028500846536092e-16,
trapz,512,64,32,50,1.6496736927229237e-05,0,0,9.740011764562365e-16,True,5.016634009811779e-16,
trapz,512,64,64,50,1.6496736927229237e-05,0,0,9.740011764562365e-16,True,5.016634009811779e-16,
trapz,512,64,128,50,1.6496736927234268e-05,0,0,9.773870414181621e-16,True,5.034073049651983e-16,
trapz,512,64,256,50,1.649673692723231e-05,0,0,9.74279550203987e-16,True,5.018067785503391e-16,
trapz,512,64,512,50,1.649673692723162e-05,0,0,9.778932625922888e-16,True,5.036680363092662e-16,
trapz,512,64,1024,50,1.649673692723152e-05,0,0,9.762539702790569e-16,True,5.028237119111679e-16,
trapz,512,128,32,50,1.6496736927234268e-05,0,0,9.773870414181621e-16,True,5.034073049651983e-16,
trapz,512,128,64,50,1.6496736927234268e-05,0,0,9.773870414181621e-16,True,5.034073049651983e-16,
trapz,512,128,128,50,1.6496736927234268e-05,0,0,9.773870414181621e-16,True,5.034073049651983e-16,
trapz,512,128,256,50,1.649673692723231e-05,0,0,9.74279550203987e-16,True,5.018067785503391e-16,
trapz,512,128,512,50,1.649673692723162e-05,0,0,9.778932625922888e-16,True,5.036680363092662e-16,
trapz,512,128,1024,50,1.649673692723152e-05,0,0,9.762539702790569e-16,True,5.028237119111679e-16,
simpson,1024,32,32,50,-0.00010338380191366436,17,1,0.0026201618525768457,False,0.0013495276415530714,
simpson,1024,32,64,50,-1.6010569846673042e-16,0,18,1.715273483011913e-08,False,8.834587844005355e-09,
simpson,1024,32,128,50,-1.3673632676693883e-16,0,18,1.7152734829949245e-08,False,8.834587843917855e-09,
simpson,1024,32,256,50,-1.544339575535673e-16,0,18,1.7152734830423272e-08,False,8.834587844162005e-09,
simpson,1024,32,512,50,-1.575539987006666e-16,0,18,1.7152734830006413e-08,False,8.834587843947299e-09,
simpson,1024,32,1024,50,-1.7039258898186964e-16,0,18,1.7152734829163645e-08,False,8.834587843513226e-09,
simpson,1024,64,32,50,1.6496742809813844e-05,0,0,1.714578792263964e-08,False,8.831010156550307e-09,
simpson,1024,64,64,50,1.6496742809813844e-05,0,0,1.714578792263964e-08,False,8.831010156550307e-09,
simpson,1024,64,128,50,1.64967428098063e-05,0,0,1.7145787922469058e-08,False,8.831010156462448e-09,
simpson,1024,64,256,50,1.649674280981233e-05,0,0,1.714578792294368e-08,False,8.831010156706905e-09,
simpson,1024,64,512,50,1.6496742809812503e-05,0,0,1.7145787922526765e-08,False,8.83101015649217e-09,
simpson,1024,64,1024,50,1.6496742809806892e-05,0,0,1.71457879216829e-08,False,8.831010156057532e-09,
simpson,1024,128,32,50,1.64967428098063e-05,0,0,1.7145787922469058e-08,False,8.831010156462448e-09,
simpson,1024,128,64,50,1.64967428098063e-05,0,0,1.7145787922469058e-08,False,8.831010156462448e-09,
simpson,1024,128,128,50,1.64967428098063e-05,0,0,1.7145787922469058e-08,False,8.831010156462448e-09,
simpson,1024,128,256,50,1.649674280981233e-05,0,0,1.714578792294368e-08,False,8.831010156706905e-09,
simpson,1024,128,512,50,1.6496742809812503e-05,0,0,1.7145787922526765e-08,False,8.83101015649217e-09,
simpson,1024,128,1024,50,1.6496742809806892e-05,0,0,1.71457879216829e-08,False,8.831010156057532e-09,
trapz,1024,32,32,50,-0.00010338378568877048,17,1,0.002620161657671486,False,0.0013495275411654903,
trapz,1024,32,64,50,-1.8840387818781606e-17,0,18,6.852067422252361e-16,True,3.5291859959623065e-16,
trapz,1024,32,128,50,-8.028574910609478e-18,0,18,6.835062699699596e-16,True,3.5204276424610623e-16,
trapz,1024,32,256,50,-8.055876947662839e-18,0,18,6.85327711113238e-16,True,3.5298090512814893e-16,
trapz,1024,32,512,50,-3.2600986515261765e-18,0,18,6.836617212705495e-16,True,3.5212283008890785e-16,
trapz,1024,32,1024,50,-1.4136005703849854e-17,0,18,6.9589243242557e-16,True,3.5842230904452624e-16,
trapz,1024,64,32,50,1.6496736927219574e-05,0,0,6.851758551019047e-16,True,3.529027048932446e-16,
trapz,1024,64,64,50,1.6496736927219574e-05,0,0,6.851758551019047e-16,True,3.529027048932446e-16,
trapz,1024,64,128,50,1.6496736927225865e-05,0,0,6.834757689260898e-16,True,3.5202706836062413e-16,
trapz,1024,64,256,50,1.6496736927234556e-05,0,0,6.852971208070039e-16,True,3.529651633045001e-16,
trapz,1024,64,512,50,1.6496736927226028e-05,0,0,6.836310459682807e-16,True,3.521070444540445e-16,
trapz,1024,64,1024,50,1.649673692722966e-05,0,0,6.958620713960857e-16,True,3.5840668552421665e-16,
trapz,1024,128,32,50,1.6496736927225865e-05,0,0,6.834757689260898e-16,True,3.5202706836062413e-16,
trapz,1024,128,64,50,1.6496736927225865e-05,0,0,6.834757689260898e-16,True,3.5202706836062413e-16,
trapz,1024,128,128,50,1.6496736927225865e-05,0,0,6.834757689260898e-16,True,3.5202706836062413e-16,
trapz,1024,128,256,50,1.6496736927234556e-05,0,0,6.852971208070039e-16,True,3.529651633045001e-16,
trapz,1024,128,512,50,1.6496736927226028e-05,0,0,6.836310459682807e-16,True,3.521070444540445e-16,
trapz,1024,128,1024,50,1.649673692722966e-05,0,0,6.958620713960857e-16,True,3.5840668552421665e-16,
