K,N_p,basis,alpha,noise_level,compute_model_posterior,random_seed,N,N_d,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,20,sine,0.1,0.1,False,42,50,25,10.0,0.049962368006126835,0.24628733606071745,0.39883631921794865,0.1662410575262638,0.22308205201713832,0.5206585129496826,20,100.0,0.12068836900562138,0.9460076147982601,87.24234698350091,3.5762786865234375e-05,0.0004429817199707031,0.018767595291137695,0.001986265182495117,1.7791728973388672,0.0573122501373291,4.444263935089111,6.280796527862549,11.25095820426941,run_001_N50_N_d25,success
100,20,sine,0.1,0.1,False,42,50,50,10.0,0.10098413535602901,0.18172520221201688,0.2942847647737357,0.07954784001384346,0.1008638730119156,0.23139413045282953,20,100.0,0.47139953809113694,1.5986260961790315,70.5122080004914,4.363059997558594e-05,0.00032711029052734375,0.05121636390686035,0.0012693405151367188,4.809111595153809,0.057280540466308594,9.868146657943726,14.734624147415161,19.96281886100769,run_002_N50_N_d50,success
100,20,sine,0.1,0.1,False,42,50,100,10.0,0.10924439116284056,0.147620114190566,0.2390551781021489,0.06631530727200204,0.0784422162342491,0.1474856605045646,20,100.0,0.8138000171354953,2.126931328317275,61.73830314590671,5.173683166503906e-05,0.0003123283386230469,0.08700346946716309,0.001016378402709961,12.585702657699585,0.05749845504760742,20.1015625,32.744802951812744,37.610657930374146,run_003_N50_N_d100,success
100,20,sine,0.1,0.1,False,42,100,25,10.0,0.049962368006126835,0.24628733606071745,0.39883631921794865,0.1662410575262638,0.22308205201713832,0.5206585129496826,20,100.0,0.12068836900562138,0.9460076147982601,87.24234698350091,3.9577484130859375e-05,0.0003008842468261719,0.019836902618408203,0.0009753704071044922,1.7815148830413818,0.05663490295410156,5.1252281665802,6.9634740352630615,11.052243947982788,run_004_N100_N_d25,success
100,20,sine,0.1,0.1,False,42,100,50,10.0,0.10098413535602901,0.18172520221201688,0.2942847647737357,0.07954784001384346,0.1008638730119156,0.23139413045282953,20,100.0,0.47139953809113694,1.5986260961790315,70.5122080004914,3.9577484130859375e-05,0.0003056526184082031,0.040740013122558594,0.001110076904296875,4.640474557876587,0.0570828914642334,10.062889099121094,14.760488510131836,19.084308862686157,run_005_N100_N_d50,success
100,20,sine,0.1,0.1,False,42,100,100,10.0,0.10924439116284056,0.147620114190566,0.2390551781021489,0.06631530727200204,0.0784422162342491,0.1474856605045646,20,100.0,0.8138000171354953,2.126931328317275,61.73830314590671,3.123283386230469e-05,0.0002760887145996094,0.0800788402557373,0.0009822845458984375,12.131924629211426,0.056960105895996094,19.61890149116516,31.807827711105347,36.990275382995605,run_006_N100_N_d100,success
100,20,sine,0.1,0.1,False,42,200,25,10.0,0.049962368006126835,0.24628733606071745,0.39883631921794865,0.1662410575262638,0.22308205201713832,0.5206585129496826,20,100.0,0.12068836900562138,0.9460076147982601,87.24234698350091,7.200241088867188e-05,0.0004241466522216797,0.02658700942993164,0.0010585784912109375,1.8131756782531738,0.05867767333984375,4.452326774597168,6.324235916137695,10.74954605102539,run_007_N200_N_d25,success
100,20,sine,0.1,0.1,False,42,200,50,10.0,0.10098413535602901,0.18172520221201688,0.2942847647737357,0.07954784001384346,0.1008638730119156,0.23139413045282953,20,100.0,0.47139953809113694,1.5986260961790315,70.5122080004914,3.886222839355469e-05,0.00029158592224121094,0.04882359504699707,0.000997781753540039,4.645712852478027,0.0572810173034668,9.45954418182373,14.162583112716675,18.559272527694702,run_008_N200_N_d50,success
100,20,sine,0.1,0.1,False,42,200,100,10.0,0.10924439116284056,0.147620114190566,0.2390551781021489,0.06631530727200204,0.0784422162342491,0.1474856605045646,20,100.0,0.8138000171354953,2.126931328317275,61.73830314590671,3.4332275390625e-05,0.00030159950256347656,0.08102917671203613,0.0009214878082275391,12.232119083404541,0.05735206604003906,19.561849117279053,31.85135531425476,36.549485206604004,run_009_N200_N_d100,success
