pygeoinf2/examples/21_tomography.py:168: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
WALL 17.017767566000202
         16300577 function calls (16034657 primitive calls) in 17.010 seconds

   Ordered by: cumulative time
   List reduced from 10413 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1294    0.003    0.000    1.349    0.001 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/transforms.py:2791(get_transformed_path_and_affine)
     1294    0.006    0.000    1.296    0.001 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/transforms.py:2767(_revalidate)
   147392    1.114    0.000    1.114    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/linear.py:76(line_locate_point)



         16300577 function calls (16034657 primitive calls) in 17.010 seconds

   Ordered by: internal time
   List reduced from 10413 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.555    1.555    2.791    2.791 /home/david/dev/pygeoinf/pygeoinf2/symmetric_space/base.py:1965(_path_operator)
   147392    1.114    0.000    1.114    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/linear.py:76(line_locate_point)
   415202    0.706    0.000    3.185    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/decorators.py:73(wrapped)
    17612    0.628    0.000    0.629    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/pyshtools/backends/shtools.py:212(wrapped_func)
   147392    0.438    0.000    0.476    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/creation.py:52(points)
      555    0.421    0.001    0.558    0.001 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:1432(_value)
      550    0.356    0.001    0.545    0.001 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:1439(_adjoint_value)
        1    0.340    0.340    0.376    0.376 /home/david/dev/pygeoinf/pygeoinf2/symmetric_space/sphere.py:621(basis_matrix)
     5760    0.318    0.000    0.327    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/numpy/polynomial/legendre.py:828(legval)
    45073    0.305    0.000    0.352    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/numpy/lib/_shape_base_impl.py:625(column_stack)
486329/338481    0.294    0.000    3.089    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/decorators.py:171(wrapper)
     1315    0.274    0.000    0.340    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/pyproj/crs/crs.py:185(__init__)
   147392    0.267    0.000    1.522    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/geometry/point.py:54(__new__)
      784    0.264    0.000    4.398    0.006 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/crs.py:987(_attach_lines_to_boundary)
   164494    0.245    0.000    0.344    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/pyproj/transformer.py:712(transform)
     5779    0.219    0.000    0.233    0.000 /usr/lib/python3.12/warnings.py:182(_add_filter)
  1662655    0.213    0.000    0.239    0.000 {built-in method builtins.isinstance}
     1721    0.209    0.000    0.209    0.000 {built-in method marshal.loads}
     1294    0.190    0.000    0.567    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/crs.py:838(_project_line_string)
    38400    0.183    0.000    0.388    0.000 /home/david/dev/pygeoinf/pygeoinf2/symmetric_space/sphere.py:1020(to_latitude_degrees)



