pygeoinf2/examples/26_mixture.py:157: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
WALL 12.228263751999748
         6339211 function calls (6183422 primitive calls) in 12.208 seconds

   Ordered by: cumulative time
   List reduced from 6712 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
         6339211 function calls (6183422 primitive calls) in 12.208 seconds

   Ordered by: internal time
   List reduced from 6712 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    8.905    2.968    8.907    2.969 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/stats/_kde.py:247(evaluate)
    20000    0.160    0.000    1.574    0.000 /home/david/dev/pygeoinf/pygeoinf2/probability/mixture.py:215(sample)
   120027    0.148    0.000    0.148    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/spaces.py:318(axpy)
    60021    0.127    0.000    0.161    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:1432(_value)
      956    0.107    0.000    0.107    0.000 {built-in method marshal.loads}
    20000    0.094    0.000    1.303    0.000 /home/david/dev/pygeoinf/pygeoinf2/inference/gaussian.py:565(_draw_fluctuation)
     8682    0.081    0.000    0.149    0.000 /usr/lib/python3.12/inspect.py:875(cleandoc)
    20023    0.074    0.000    0.339    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/_lib/_util.py:1149(wrapper)
      380    0.068    0.000    0.075    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/_lib/_docscrape.py:290(_parse_see_also)
60001/20001    0.057    0.000    1.358    0.000 /home/david/dev/pygeoinf/pygeoinf2/probability/gaussian.py:437(sample)
    40001    0.049    0.000    0.057    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/spaces.py:792(white_noise_components)
140062/80024    0.048    0.000    0.740    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:235(__call__)
    20008    0.047    0.000    0.059    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:1439(_adjoint_value)
    20010    0.046    0.000    0.172    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/linalg/_decomp_cholesky.py:233(_cho_solve)
   140460    0.044    0.000    0.044    0.000 {method 'copy' of 'numpy.ndarray' objects}
    40039    0.041    0.000    0.106    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:603(asarray_chkfinite)
    13806    0.039    0.000    0.085    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/_lib/_docscrape.py:67(read_to_condition)
578202/575586    0.038    0.000    0.038    0.000 {built-in method builtins.len}
    40250    0.038    0.000    0.038    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  119/117    0.036    0.000    0.040    0.000 {built-in method _imp.create_dynamic}



