N,N_d,N_p,basis,alpha,compute_model_posterior,random_seed,n_jobs,bc_config,noise_level,K,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.01,50,100.0,0.010098413535602901,0.08453789409996307,0.13690018762862324,0.03556193902787462,0.05172214706125592,0.1498695538951308,20,100.0,0.03352972843756769,1.4895389145954019,97.74898607152703,1.1205673217773438e-05,0.00018739700317382812,0.01959991455078125,0.0008475780487060547,1.2764301300048828,0.014785289764404297,1.2275116443634033,2.518767833709717,5.264198303222656,run_001_noise_level0.01_K50,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.01,100,100.0,0.010098413535602901,0.08776285906182521,0.14212267765011122,0.035829900290178,0.051794557879438194,0.15038539753944546,20,100.0,0.029713914904542796,1.4895389145954019,98.00516021344673,2.002716064453125e-05,0.00011587142944335938,0.02085113525390625,0.0006477832794189453,2.2201335430145264,0.029444456100463867,2.315756320953369,4.565367937088013,6.768400430679321,run_002_noise_level0.01_K100,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.01,200,100.0,0.010098413535602901,0.08776303892288369,0.14212296891609216,0.035828878037424385,0.051794277121446824,0.15038537766456622,20,100.0,0.029710152240082686,1.4895389145954019,98.0054128194326,1.8358230590820312e-05,0.00011420249938964844,0.020697355270385742,0.0008640289306640625,4.4294350147247314,0.05681467056274414,4.53795051574707,9.024237632751465,11.632437944412231,run_003_noise_level0.01_K200,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.05,50,20.0,0.05049206767801451,0.16183245051683479,0.26207055517561384,0.07343687602733315,0.1084508730598958,0.3123213191046261,20,100.0,0.2067750378683264,1.5086901048813715,86.29439954571816,1.7881393432617188e-05,0.00011396408081054688,0.019577503204345703,0.0004978179931640625,1.2336905002593994,0.014971733093261719,1.2480907440185547,2.4967880249023438,4.2785515785217285,run_004_noise_level0.05_K50,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.05,100,20.0,0.05049206767801451,0.1619549929013557,0.26226899962010797,0.07337535830624496,0.10838432028528906,0.3121573529311673,20,100.0,0.2060823545425705,1.5086901048813715,86.34031244217812,1.6927719116210938e-05,0.00010514259338378906,0.019509077072143555,0.0005180835723876953,2.3030292987823486,0.02841043472290039,2.354278087615967,4.685748100280762,6.715892553329468,run_005_noise_level0.05_K100,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.05,200,20.0,0.05049206767801451,0.16195320184911757,0.26226609920024224,0.0733743535381678,0.10838378900978407,0.3121573865950549,20,100.0,0.2060795252918213,1.5086901048813715,86.34049997245621,1.6450881958007812e-05,0.00010561943054199219,0.019358396530151367,0.0013010501861572266,4.428813695907593,0.05804634094238281,4.6051025390625,9.091994285583496,11.613742113113403,run_006_noise_level0.05_K200,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.1,50,10.0,0.10098413535602901,0.18179784718071013,0.2944024056252173,0.07956536361674346,0.1009144600466552,0.23150322326290906,20,100.0,0.4716184450837858,1.5986260961790317,70.49851455502771,2.2172927856445312e-05,0.00011324882507324219,0.020743131637573242,0.00044989585876464844,1.262542963027954,0.015573501586914062,1.3896751403808594,2.6678271293640137,4.549476623535156,run_007_noise_level0.1_K50,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.1,100,10.0,0.10098413535602901,0.18172520221201696,0.29428476477373583,0.07954784001384368,0.10086387301191578,0.2313941304528302,20,100.0,0.47139953809113694,1.5986260961790317,70.51220800049141,1.9311904907226562e-05,0.00010919570922851562,0.019835233688354492,0.0005259513854980469,2.2988808155059814,0.02926325798034668,2.5496673583984375,4.8778462409973145,6.93755841255188,run_008_noise_level0.1_K100,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.1,200,10.0,0.10098413535602901,0.18172395082084214,0.29428273827794416,0.07954751959340654,0.100863764603611,0.23139415571271904,20,100.0,0.47139634394223995,1.5986260961790317,70.51240780636876,1.2636184692382812e-05,0.00011038780212402344,0.019535541534423828,0.000843048095703125,4.391180992126465,0.057643890380859375,4.511090040206909,8.959944009780884,11.538575410842896,run_009_noise_level0.1_K200,success
100,50,20,sine,0.1,False,42,30,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",0.2,50,5.0,0.20196827071205803,0.23925086168847437,0.3874414924120548,0.12635887432578208,0.15878354891792978,0.3383379626358769,20,100.0,1.102487042088969,1.9511042608673992,43.49420150418625,1.2636184692382812e-05,0.00010800361633300781,0.020189762115478516,0.0003533363342285156,1.2479233741760254,0.014989137649536133,1.4267840385437012,2.689725399017334,4.61827278137207,run_010_noise_level0.2_K50,success
