6267.667 -0.48084E+01
6291.000 -0.46482E+01
6291.000 -0.45198E+01
6309.543 -0.43371E+01
6328.086 -0.41128E+01
6346.629 -0.38468E+01
6346.629 -0.48456E+01
6351.314 -0.48357E+01
6356.000 -0.48242E+01
6356.000 -0.53296E+01
6362.000 -0.53398E+01
6368.000 -0.53463E+01
6368.000 -0.16331E+01
6369.500 -0.16351E+01
6371.000 -0.16361E+01
