# 657.01215   5.43609   9.37348
#   1.52204 345.66351
2925.994  0.20956E+00  0.00000E+00 -0.58348E+00
2968.607  0.25474E+00  0.00000E+00 -0.70300E+00
3011.219  0.30873E+00  0.00000E+00 -0.83776E+00
3053.832  0.37304E+00  0.00000E+00 -0.98896E+00
3096.444  0.44944E+00  0.00000E+00 -0.11578E+01
3139.057  0.53996E+00  0.00000E+00 -0.13454E+01
3181.670  0.64692E+00  0.00000E+00 -0.15530E+01
3224.282  0.77298E+00  0.00000E+00 -0.17813E+01
3266.895  0.92115E+00  0.00000E+00 -0.20314E+01
3309.508  0.10949E+01  0.00000E+00 -0.23039E+01
3352.120  0.12981E+01  0.00000E+00 -0.25990E+01
3394.733  0.15352E+01  0.00000E+00 -0.29170E+01
3437.345  0.18111E+01  0.00000E+00 -0.32574E+01
3479.958  0.21315E+01  0.00000E+00 -0.36196E+01
3479.958  0.17480E+01  0.29947E+00 -0.18201E+00
3517.468  0.15121E+01  0.39032E+00 -0.21133E+00
3554.979  0.13079E+01  0.56148E+00 -0.18713E+00
3592.490  0.11308E+01  0.78342E+00 -0.12561E+00
3630.000  0.97719E+00  0.10351E+01 -0.38665E-01
3630.000  0.97719E+00  0.10351E+01 -0.38665E-01
3662.833  0.86646E+00  0.12682E+01  0.55170E-01
3695.667  0.76942E+00  0.15056E+01  0.15775E+00
3728.500  0.68434E+00  0.17423E+01  0.26571E+00
3761.333  0.60970E+00  0.19749E+01  0.37654E+00
3794.167  0.54421E+00  0.22010E+01  0.48846E+00
3827.000  0.48672E+00  0.24195E+01  0.60018E+00
3859.833  0.43624E+00  0.26298E+01  0.71079E+00
3892.667  0.39191E+00  0.28317E+01  0.81969E+00
3925.500  0.35297E+00  0.30254E+01  0.92647E+00
3958.333  0.31876E+00  0.32115E+01  0.10309E+01
3991.167  0.28872E+00  0.33905E+01  0.11328E+01
4024.000  0.26235E+00  0.35630E+01  0.12320E+01
4056.833  0.23920E+00  0.37296E+01  0.13286E+01
4089.667  0.21889E+00  0.38910E+01  0.14224E+01
4122.500  0.20109E+00  0.40477E+01  0.15134E+01
4155.333  0.18551E+00  0.42002E+01  0.16016E+01
4188.167  0.17189E+00  0.43488E+01  0.16868E+01
4221.000  0.16001E+00  0.44939E+01  0.17690E+01
4253.833  0.14968E+00  0.46357E+01  0.18481E+01
4286.667  0.14073E+00  0.47743E+01  0.19238E+01
4319.500  0.13300E+00  0.49097E+01  0.19959E+01
4352.333  0.12638E+00  0.50418E+01  0.20643E+01
4385.167  0.12075E+00  0.51704E+01  0.21287E+01
4418.000  0.11602E+00  0.52953E+01  0.21888E+01
4450.833  0.11210E+00  0.54161E+01  0.22443E+01
4483.667  0.10893E+00  0.55325E+01  0.22949E+01
4516.500  0.10643E+00  0.56440E+01  0.23403E+01
4549.333  0.10455E+00  0.57501E+01  0.23801E+01
4582.167  0.10327E+00  0.58503E+01  0.24139E+01
