# 289.69370   3.68127   5.21438
#   3.45192 200.02240
   0.000  0.00000E+00  0.00000E+00  0.00000E+00
  22.620  0.00000E+00  0.00000E+00 -0.95855E-06
  45.240  0.00000E+00  0.00000E+00 -0.38341E-05
  67.861  0.00000E+00  0.00000E+00 -0.86264E-05
  90.481  0.00000E+00  0.00000E+00 -0.15335E-04
 113.101  0.00000E+00  0.00000E+00 -0.23959E-04
 135.721  0.00000E+00  0.00000E+00 -0.34498E-04
 158.341  0.00000E+00  0.00000E+00 -0.46950E-04
 180.962  0.00000E+00  0.00000E+00 -0.61315E-04
 203.582  0.00000E+00  0.00000E+00 -0.77590E-04
 226.202  0.00000E+00  0.00000E+00 -0.95775E-04
 248.822  0.00000E+00  0.00000E+00 -0.11587E-03
 271.442  0.00000E+00  0.00000E+00 -0.13786E-03
 294.063  0.00000E+00  0.00000E+00 -0.16176E-03
 316.683  0.00000E+00  0.00000E+00 -0.18756E-03
 339.303  0.00000E+00  0.00000E+00 -0.21526E-03
 361.923  0.00000E+00  0.00000E+00 -0.24486E-03
 384.543  0.00000E+00  0.00000E+00 -0.27634E-03
 407.164  0.00000E+00  0.00000E+00 -0.30972E-03
 429.784  0.00000E+00  0.00000E+00 -0.34498E-03
 452.404  0.00000E+00  0.00000E+00 -0.38212E-03
 475.024  0.00000E+00  0.00000E+00 -0.42114E-03
 497.644  0.00000E+00  0.00000E+00 -0.46203E-03
 520.265  0.00000E+00  0.00000E+00 -0.50480E-03
 542.885  0.00000E+00  0.00000E+00 -0.54942E-03
 565.505  0.00000E+00  0.00000E+00 -0.59591E-03
 588.125  0.00000E+00  0.00000E+00 -0.64426E-03
 610.745  0.00000E+00  0.00000E+00 -0.69446E-03
 633.366  0.00000E+00  0.00000E+00 -0.74650E-03
 655.986  0.00000E+00  0.00000E+00 -0.80038E-03
 678.606  0.00000E+00  0.00000E+00 -0.85610E-03
 701.226  0.00000E+00  0.00000E+00 -0.91364E-03
 723.846  0.00000E+00  0.00000E+00 -0.97301E-03
 746.467  0.00000E+00  0.00000E+00 -0.10342E-02
 769.087  0.00000E+00  0.00000E+00 -0.10972E-02
 791.707  0.00000E+00  0.00000E+00 -0.11620E-02
 814.327  0.00000E+00  0.00000E+00 -0.12286E-02
 836.947  0.00000E+00  0.00000E+00 -0.12970E-02
 859.568  0.00000E+00  0.00000E+00 -0.13671E-02
 882.188  0.00000E+00  0.00000E+00 -0.14391E-02
 904.808  0.00000E+00  0.00000E+00 -0.15128E-02
 927.428  0.00000E+00  0.00000E+00 -0.15883E-02
 950.048  0.00000E+00  0.00000E+00 -0.16655E-02
 972.669  0.00000E+00  0.00000E+00 -0.17445E-02
 995.289  0.00000E+00  0.00000E+00 -0.18252E-02
1017.909  0.00000E+00  0.00000E+00 -0.19076E-02
1040.529  0.00000E+00  0.00000E+00 -0.19918E-02
1063.149  0.00000E+00  0.00000E+00 -0.20776E-02
1085.770  0.00000E+00  0.00000E+00 -0.21652E-02
1108.390  0.00000E+00  0.00000E+00 -0.22545E-02
1131.010  0.00000E+00  0.00000E+00 -0.23454E-02
1153.630  0.00000E+00  0.00000E+00 -0.24380E-02
1176.250  0.00000E+00  0.00000E+00 -0.25323E-02
1198.871  0.00000E+00  0.00000E+00 -0.26282E-02
1221.491  0.00000E+00  0.00000E+00 -0.27258E-02
1221.491  0.00000E+00  0.00000E+00 -0.25982E-02
1264.103  0.00000E+00  0.00000E+00 -0.27776E-02
1306.716  0.00000E+00  0.00000E+00 -0.29625E-02
1349.328  0.00000E+00  0.00000E+00 -0.31527E-02
1391.941  0.00000E+00  0.00000E+00 -0.33483E-02
1434.554  0.00000E+00  0.00000E+00 -0.35492E-02
1477.166  0.00000E+00  0.00000E+00 -0.37552E-02
1519.779  0.00000E+00  0.00000E+00 -0.39664E-02
1562.391  0.00000E+00  0.00000E+00 -0.41826E-02
1605.004  0.00000E+00  0.00000E+00 -0.44038E-02
1647.617  0.00000E+00  0.00000E+00 -0.46298E-02
1690.229  0.00000E+00  0.00000E+00 -0.48606E-02
1732.842  0.00000E+00  0.00000E+00 -0.50960E-02
1775.454  0.00000E+00  0.00000E+00 -0.53361E-02
1818.067  0.00000E+00  0.00000E+00 -0.55806E-02
1860.679  0.00000E+00  0.00000E+00 -0.58296E-02
1903.292  0.00000E+00  0.00000E+00 -0.60828E-02
1945.905  0.00000E+00  0.00000E+00 -0.63401E-02
1988.517  0.00000E+00  0.00000E+00 -0.66016E-02
2031.130  0.00000E+00  0.00000E+00 -0.68670E-02
2073.742  0.00000E+00  0.00000E+00 -0.71362E-02
2116.355  0.00000E+00  0.00000E+00 -0.74091E-02
2158.968  0.00000E+00  0.00000E+00 -0.76856E-02
2201.580  0.00000E+00  0.00000E+00 -0.79655E-02
2244.193  0.00000E+00  0.00000E+00 -0.82488E-02
2286.805  0.00000E+00  0.00000E+00 -0.85352E-02
2329.418  0.00000E+00  0.00000E+00 -0.88247E-02
2372.031  0.00000E+00  0.00000E+00 -0.91170E-02
2414.643  0.00000E+00  0.00000E+00 -0.94121E-02
2457.256  0.00000E+00  0.00000E+00 -0.97098E-02
2499.868  0.00000E+00  0.00000E+00 -0.10010E-01
2542.481  0.00000E+00  0.00000E+00 -0.10312E-01
2585.094  0.00000E+00  0.00000E+00 -0.10617E-01
2627.706  0.00000E+00  0.00000E+00 -0.10923E-01
2670.319  0.00000E+00  0.00000E+00 -0.11232E-01
2712.931  0.00000E+00  0.00000E+00 -0.11542E-01
2755.544  0.00000E+00  0.00000E+00 -0.11853E-01
